"key","message","comment","context"
"Total net mass","إجمالي الكتلة الصافية",,,
"Total quantity for %s: %s (expected: %s)","إجمالي الكمية لـ %s: %s (المتوقع: %s)",,,
"Total volume (m³)","إجمالي الحجم (م³)",,,
"Tracking","التتبع",,,
"Tracking Nbr","رقم التتبع",,,
"Tracking Nbr.","رقم التتبع.",,,
"Tracking Nbr. Config.","إعدادات رقم التتبع.",,,
"Tracking Number","رقم التتبع",,,
"Tracking Number Configuration","إعداد رقم التتبع",,,
"Tracking Number Configuration profile","ملف تعريف إعداد رقم التتبع",,,
"Tracking Number Configuration profiles","ملفات تعريف إعداد رقم التتبع",,,
"Tracking Number Search","بحث رقم التتبع",,,
"Tracking Numbers","أرقام التتبع",,,
"Tracking no.","رقم التتبع.",,,
"Tracking number","رقم التتبع",,,
"Tracking number barcode type","نوع الباركود لرقم التتبع",,,
"Tracking number configuration","إعداد رقم التتبع",,,
"Tracking number configuration profile","ملف تعريف إعداد رقم التتبع",,,
"Tracking number search","بحث عن رقم التتبع",,,
"Tracking number's children","الأبناء لرقم التتبع",,,
"Tracking number's direct parents","الآباء المباشرون لرقم التتبع",,,
"Tracking number's origin parents","الآباء الأصليون لرقم التتبع",,,
"Tracking number's parents","الآباء لرقم التتبع",,,
"Tracking number's types","أنواع أرقام التتبع",,,
"TrackingNumber","TrackingNumber",,,
"Trading Name","الاسم التجاري",,,
"Trading name","الاسم التجاري",,,
"Transaction leading to property transfer","المعاملة التي تؤدي إلى نقل الملكية",,,
"Transfers under inward processing","التحويلات تحت المعالجة الداخلية",,,
"Transition location (cart)","موقع الانتقال (العربة)",,,
"Transport by air","النقل الجوي",,,
"Transport by inland waterway","النقل عبر الممرات المائية الداخلية",,,
"Transport by rail","النقل بالسكك الحديدية",,,
"Transport by road","النقل البري",,,
"Transport by sea","النقل البحري",,,
"Type","النوع",,,
"Type Status","حالة النوع",,,
"Type is required on line %d.","النوع مطلوب في السطر %d.",,,
"Type select","تحديد النوع",,,
"Unavailable","غير متوفر",,,
"Unit","الوحدة",,,
"Unit net mass","الكتلة الصافية للوحدة",,,
"Unit of mass","وحدة الكتلة",,,
"Unit price","سعر الوحدة",,,
"Unit weight in kg","وزن الوحدة بالكيلوغرام",,,
"Unknown account selection","اختيار حساب غير معروف",,,
"Unknown object, can not get service","كائن غير معروف، لا يمكن الحصول على الخدمة",,,
"Unloading in port of import","تفريغ في ميناء الاستيراد",,,
"Unloading of truck in port of export","تفريغ الشاحنة في ميناء التصدير",,,
"Upcoming arrivals","الوصولات القادمة",,,
"Upcoming customer deliveries","تسليمات العملاء القادمة",,,
"Upcoming supplier arrivals","وصولات الموردين القادمة",,,
"Update average price","تحديث السعر المتوسط",,,
"Update locker for product with id %s to %s","تحديث الخزانة للمنتج برقم %s إلى %s",,,
"Update stock location from product","تحديث موقع المخزون من المنتج",,,
"Use Case","حالة الاستخدام",,,
"Use signature for certificate of conformity","استخدام التوقيع لشهادة المطابقة",,,
"Use tracking number seq as serial number","استخدام تسلسل رقم التتبع كرقم تسلسلي",,,
"Used for MRP","يستخدم لتخطيط متطلبات المواد (MRP)",,,
"Used in DEB/DES","يستخدم في DEB/DES",,,
"User","المستخدم",,,
"User to alert","المستخدم الذي سيتم تنبيهه",,,
"Validate","تحقق",,,
"Validated","تم التحقق",,,
"Validated By","تم التحقق بواسطة",,,
"Validated On","تم التحقق في",,,
"Validated for invoicing","تم التحقق منه للفوترة",,,
"Validation Date","تاريخ التحقق",,,
"Validé pour facturation","تم التحقق منه للفوترة",,,
"Valued","مُقيَّم",,,
"View Direction","اتجاه العرض",,,
"Virtual","افتراضي",,,
"Virtual outsourcing stock location","موقع مخزون الاستعانة بمصادر خارجية افتراضي",,,
"Virtual stock locations information","معلومات مواقع المخزون الافتراضي",,,
"Volume in m³","الحجم بالمتر المكعب",,,
"WAP","متوسط ​​سعر الوزن (WAP)",,,
"WAP history","سجل متوسط سعر الوزن (WAP)",,,
"WAP of the stock location","متوسط سعر الوزن (WAP) لموقع المخزون",,,
"WAP value","قيمة متوسط سعر الوزن (WAP)",,,
"Wap correction","تصحيح متوسط سعر الوزن (WAP)",,,
"Warranty","الضمان",,,
"Warranty expiration date","تاريخ انتهاء الضمان",,,
"Warranty length (in months)","مدة الضمان (بالأشهر)",,,
"Waste default stock location","موقع مخزون النفايات الافتراضي",,,
"Without details by stock location","بدون تفاصيل حسب موقع المخزون",,,
"Wording","الصياغة",,,
"Workshop","ورشة العمل",,,
"Workshop default stock location","الموقع الافتراضي لمخزون ورشة العمل",,,
"Yes","نعم",,,
"You can only split line in draft or planned stock move.","يمكنك تقسيم السطر فقط في حركة مخزون مسودة أو مخطط لها.",,,
"You can only split line in incoming stock move.","يمكنك تقسيم السطر فقط في حركة مخزون واردة.",,,
"You cannot choose external stock locations for both fields","لا يمكنك اختيار مواقع المخزون الخارجية لكلا الحقلين",,,
"You must configure a Stock module for the company %s","يجب عليك تكوين وحدة المخزون للشركة %s",,,
"You must configure a customer virtual stock location for the company %s","يجب عليك تكوين موقع مخزون افتراضي للعميل للشركة %s",,,
"You must configure a default pickup stock location for the company %s","يجب عليك تكوين موقع مخزون استلام افتراضي للشركة %s",,,
"You must configure a default receipt stock location for the company %s","يجب عليك تكوين موقع مخزون استلام افتراضي للشركة %s",,,
"You must configure a default virtual outsource stock location for the company %s","يجب عليك تكوين موقع مخزون افتراضي خارجي افتراضي للشركة %s",,,
"You must configure a supplier virtual stock location for the company %s","يجب عليك تكوين موقع مخزون افتراضي للمورد للشركة %s",,,
"You must configure an inventory virtual stock location for the company %s","يجب عليك تكوين موقع مخزون افتراضي للجرد للشركة %s",,,
"You must select a stock location","يجب عليك تحديد موقع المخزون",,,
"You will modify the volume and therefore the unit weight of your tracking number. This will not have an impact on any stock location lines linked to it. This could generate inconsistencies.","ستقوم بتعديل الحجم وبالتالي وزن الوحدة لرقم التتبع الخاص بك. لن يكون لهذا تأثير على أي خطوط موقع مخزون مرتبطة به. قد يؤدي ذلك إلى تناقضات.",,,
"Your merge doesn't respect this/these condition(s) : %s","دمجك لا يحترم هذا/هذه الشروط: %s",,,
"import.name","import.name",,,
"import.verb","import.verb",,,
"stockMove.realDate","stockMove.realDate",,,
"value:Manual correction","القيمة: تصحيح يدوي",,,
"value:Stock","القيمة: المخزون",,,
