"key","message","comment","context"
"Unit cannot be null for prod product to generate. Please correct on prod product configurator id : %s.","لا يمكن أن تكون الوحدة فارغة لإنشاء منتج التصنيع. يرجى التصحيح على معرف مكوّن منتج التصنيع: %s.",,,
"Unit cost price","سعر تكلفة الوحدة",,,
"Unit price","سعر الوحدة",,,
"Unknown parent context class.","فئة السياق الأصل غير معروفة.",,,
"Unrecognized capacity for company %s production configuration","السعة غير معروفة لإعدادات إنتاج الشركة %s",,,
"Update costs","تحديث التكاليف",,,
"Update costs date","تاريخ تحديث التكاليف",,,
"Update planned quantities (Components and FP)","تحديث الكميات المخططة (المكونات والمنتجات النهائية)",,,
"Update product cost price","تحديث سعر تكلفة المنتج",,,
"Update real quantities (Components and FP)","تحديث الكميات الفعلية (المكونات والمنتجات النهائية)",,,
"Uploaded file is not a CSV file","الملف الذي تم تحميله ليس ملف CSV",,,
"Urgent","عاجل",,,
"Usable on production","قابل للاستخدام في الإنتاج",,,
"Use generated product","استخدام المنتج المُنشأ",,,
"User","المستخدم",,,
"User Dashboard","لوحة تحكم المستخدم",,,
"Validate","تحقق",,,
"Validated","تم التحقق",,,
"Valuation Batch","دفعة التقييم",,,
"Valuation date","تاريخ التقييم",,,
"Version management","إدارة الإصدار",,,
"Version number","رقم الإصدار",,,
"Warning: The current product exists in produced products of the manuf order.","تحذير: المنتج الحالي موجود في المنتجات المصنعة لأمر التصنيع.",,,
"Waste","الهدر",,,
"Waste description","وصف الهدر",,,
"Waste rate (%)","معدل الهدر (%)",,,
"Waste stock location","موقع مخزون الهدر",,,
"Waste stock move","حركة مخزون الهدر",,,
"Wasted product quantity successfully updated.","تم تحديث كمية المنتج المهدور بنجاح.",,,
"Wednesday hours","ساعات العمل يوم الأربعاء",,,
"When enabled, allows you to input in hours (example: 7,50 hours instead of 007:30:00).","عند التمكين، يسمح لك بالإدخال بالساعات (مثال: 7.50 ساعة بدلاً من 07:30:00).",,,
"When enabled, new prod process and prod process line will have their option to generate purchase order set to true.","عند التمكين، سيكون لعملية الإنتاج الجديدة وخط عملية الإنتاج الجديد خيار إنشاء أمر شراء مضبوطًا على صحيح.",,,
"Where-used list","قائمة الاستخدام",,,
"Work center","مركز العمل",,,
"Work center cannot be null for prod process line to generate. Please correct on prod process line configurator id : %s.","لا يمكن أن يكون مركز العمل فارغًا لإنشاء خط عملية الإنتاج. يرجى التصحيح على معرف مكوّن خط عملية الإنتاج: %s.",,,
"Work center filters","مرشحات مركز العمل",,,
"Work center group","مجموعة مركز العمل",,,
"Work center group cannot be null for prod process line to generate. Please correct on prod process line configurator id : %s.","لا يمكن أن تكون مجموعة مركز العمل فارغة لإنشاء خط عملية الإنتاج. يرجى التصحيح على معرف مكوّن خط عملية الإنتاج: %s.",,,
"Work center group planning","تخطيط مجموعة مركز العمل",,,
"Work center groups","مجموعات مركز العمل",,,
"Work center is missing from prod process line %s-%s.","مركز العمل مفقود من خط عملية الإنتاج %s-%s.",,,
"Work center type","نوع مركز العمل",,,
"Work centers","مراكز العمل",,,
"Work in progress","العمل الجاري",,,
"Work in progress valuation","تقييم العمل الجاري",,,
"WorkCenter","مركز العمل",,,
"WorkInProgressValuation.title","تقييم العمل الجاري",,,
"Workshop","ورشة العمل",,,
"Workshops","ورش العمل",,,
"Year","السنة",,,
"You can not merge manufacturing orders without unit.","لا يمكنك دمج أوامر التصنيع بدون وحدة.",,,
"You can't manage the consumed products on phases because this production process is related to several bills of material.","لا يمكنك إدارة المنتجات المستهلكة في المراحل لأن عملية الإنتاج هذه مرتبطة بعدة قوائم مواد.",,,
"You can't remove this record","لا يمكنك إزالة هذا السجل",,,
"You cannot delete realized stock move lines.","لا يمكنك حذف أسطر حركة المخزون المحققة.",,,
"You must add a positive quantity","يجب إضافة كمية موجبة",,,
"You must configure a component default stock location for company %s.","يجب عليك تكوين موقع مخزون افتراضي للمكونات لشركة %s.",,,
"You must configure a finished products default stock location for company %s.","يجب عليك تكوين موقع مخزون افتراضي للمنتجات النهائية لشركة %s.",,,
"You must configure a production for company %s","يجب عليك تكوين عملية إنتاج لشركة %s",,,
"You must configure a production virtual stock location for company %s","يجب عليك تكوين موقع مخزون افتراضي للإنتاج لشركة %s",,,
"You must configure a residual products default stock location for company %s.","يجب عليك تكوين موقع مخزون افتراضي للمنتجات المتبقية لشركة %s.",,,
"You must configure a sequence for manufacturing order for company %s","يجب عليك تكوين تسلسل لأمر التصنيع لشركة %s",,,
"You must configure a waste stock location for company %s.","يجب عليك تكوين موقع مخزون للنفايات لشركة %s.",,,
"You must select a nomenclature","يجب عليك اختيار تسمية",,,
"Your production process is empty.","عملية الإنتاج الخاصة بك فارغة.",,,
"Your production virtual stock location is not an outsourcing location.","موقع مخزون الإنتاج الافتراضي الخاص بك ليس موقع استعيان خارجي.",,,
"Your scheduling configuration is at the latest. you need to fill the estimated shipping date to be able to plan your manufacturing orders.","إعدادات الجدولة الخاصة بك محدثة. تحتاج إلى ملء تاريخ الشحن المقدر لتتمكن من تخطيط أوامر التصنيع.",,,
"Your scheduling configuration is at the latest. you need to fill the planned end date to be able to plan your manufacturing orders.","إعدادات الجدولة الخاصة بك محدثة. تحتاج إلى ملء تاريخ النهاية المخطط لتتمكن من تخطيط أوامر التصنيع.",,,
"Your time on this operation is paused. The status of the operation has not been updated as someone is still working on it.","تم إيقاف وقتك في هذه العملية مؤقتًا. لم يتم تحديث حالة العملية لأن شخصًا آخر لا يزال يعمل عليها.",,,
"Your time on this operation is paused. This operation cannot be stopped because other operators are still working on it. You can go to the web instance to force stop the operation.","تم إيقاف وقتك في هذه العملية مؤقتًا. لا يمكن إيقاف هذه العملية لأن مشغلين آخرين لا يزالون يعملون عليها. يمكنك الانتقال إلى النظام عبر الإنترنت لإيقاف العملية بالقوة.",,,
"import.name","استيراد",,,
"import.verb","استيراد",,,
"inOrOut is invalid","القيمة المدخلة غير صالحة",,,
"name","الاسم",,,
"status","الحالة",,,
"value:Manufacturing","القيمة: التصنيع",,,
